Contrato;Conv;Taxa Originação;Taxa Cessão
3002243552;MT;1.9;1.9
3002257958;MA;1.9;1.9
3002277345;MT;1.9;1.9
3002268328;MT;1.95;1.95
3002102725;MT;1.95;1.95
3002281255;MT;1.9;1.9
3002277105;MT;1.9;1.9
3002228280;MA;1.95;1.95
3002308454;MT;1.9;1.9
3002303950;MT;1.9;1.9
3002271108;MT;1.95;1.95
3002319089;MT;1.9;1.9
3002271447;MT;1.95;1.95
3002240863;MT;1.9;1.9
3002224883;MT;1.95;1.95
3002275273;MT;1.9;1.9
3002221665;MT;1.95;1.95
3002303877;MT;1.9;1.9
3002182388;MT;1.95;1.95
3002240822;MT;1.9;1.9
3002145161;MT;1.95;1.95
3002249906;MT;1.9;1.9
3002193039;MT;1.95;1.95
3002262842;MT;1.95;1.95
3002250441;MA;1.9;1.9
3002222275;MT;1.95;1.95
3002241069;MT;1.9;1.9
3002250482;MT;1.9;1.9
3002185084;MT;1.95;1.95
3001984479;MA;1.95;1.95
3002292807;MT;1.95;1.95
3002279168;MT;1.95;1.95
3002270555;MT;1.95;1.95
3002263337;MA;1.9;1.9
3002200362;MA;1.95;1.95
3002240848;MT;1.9;1.9
3002250110;MT;1.9;1.9
3002253866;MT;1.9;1.9
3002222101;MT;1.95;1.95
3002243651;MT;1.9;1.9
3002251001;MT;1.95;1.95
3002224446;MT;1.95;1.95
3002241143;MT;1.9;1.9
3002301921;MT;1.95;1.95
3002304347;MT;1.9;1.9
3002268351;MT;1.95;1.95
3002093551;MT;1.95;1.95
3002245045;MT;1.95;1.95
3002312399;MT;1.9;1.9
3002238198;MT;1.95;1.95
3002280422;MT;1.95;1.95
3002252348;MT;1.9;1.9
3002190936;MT;1.95;1.95
3002231706;MT;1.9;1.9
3002099582;MT;1.95;1.95
3002268443;MT;1.9;1.9
3002250409;MT;1.9;1.9
3002306110;MT;1.95;1.95
3002236408;MT;1.9;1.9
3002191736;MT;1.95;1.95
3002235061;MT;1.95;1.95
3002293565;MT;1.95;1.95
3002229643;MT;1.95;1.95
3002303935;MT;1.9;1.9
3002271157;MT;1.9;1.9
3002249278;MT;1.9;1.9
3002248791;MA;1.9;1.9
3002192999;MT;1.95;1.95
3002247488;MT;1.95;1.95
3002243438;MT;1.9;1.9
3002243529;MT;1.9;1.9
3002280828;MT;1.9;1.9
3002243487;MT;1.9;1.9
3002266629;MT;1.95;1.95
3002254682;MT;1.9;1.9
3002256240;MT;1.95;1.95
3002243610;MT;1.9;1.9
3002277287;MT;1.9;1.9
3002252884;MT;1.9;1.9
3002308678;MT;1.9;1.9
3002224461;MT;1.95;1.95
3002267379;MT;1.95;1.95
3002269805;MT;1.95;1.95
3002251050;MT;1.95;1.95
3002243750;MT;1.95;1.95
3002307068;MT;1.9;1.9
3002180093;MT;1.95;1.95
3002289126;MT;1.9;1.9
3002095994;MT;1.95;1.95
